Id,Weekly_Sales
1_1_2012-11-02,36215.67603184637
1_1_2012-11-09,21631.03485950125
1_1_2012-11-16,21225.60490232375
1_1_2012-11-23,22093.92696607834
1_1_2012-11-30,26813.154937677347
1_1_2012-12-07,34525.92215069229
1_1_2012-12-14,40900.249725690366
1_1_2012-12-21,45650.593896653605
1_1_2012-12-28,27969.66234581968
1_1_2013-01-04,20877.619433293632
1_1_2013-01-11,18817.736504288387
1_1_2013-01-18,18970.02592550801
1_1_2013-01-25,18637.407659251505
1_1_2013-02-01,23455.867678852977
1_1_2013-02-08,37061.027460243895
1_1_2013-02-15,48273.84193519105
1_1_2013-02-22,26620.50579401401
1_1_2013-03-01,20781.90173362361
1_1_2013-03-08,21067.84130228949
1_1_2013-03-15,23785.21609173516
1_1_2013-03-22,26268.202300741807
1_1_2013-03-29,31772.663195968842
1_1_2013-04-05,47996.986045322534
1_1_2013-04-12,31255.318068739838
1_1_2013-04-19,21567.30665513903
1_1_2013-04-26,24072.345734900835
1_1_2013-05-03,18968.906626958025
1_1_2013-05-10,18742.752247612745
1_1_2013-05-17,19304.619583349708
1_1_2013-05-24,18163.27362540217
1_1_2013-05-31,17441.733187056823
1_1_2013-06-07,18477.83241670548
1_1_2013-06-14,18925.469021174245
1_1_2013-06-21,18062.317661246176
1_1_2013-06-28,17444.26485899582
1_1_2013-07-05,18796.928460492843
1_1_2013-07-12,17529.60301112798
1_1_2013-07-19,17243.39366540251
1_1_2013-07-26,16630.096752745387
1_2_2012-11-02,47412.123980023964
1_2_2012-11-09,46706.02343993249
1_2_2012-11-16,46107.25504263151
1_2_2012-11-23,46273.28630824485
1_2_2012-11-30,47599.872974719896
1_2_2012-12-07,49648.1564207997
1_2_2012-12-14,51726.95516525062
1_2_2012-12-21,65599.46197406879
1_2_2012-12-28,48092.8103260068
1_2_2013-01-04,47916.6475336804
1_2_2013-01-11,45638.13027332011
1_2_2013-01-18,45149.663593260244
1_2_2013-01-25,42612.11015280865
1_2_2013-02-01,54219.52687414851
1_2_2013-02-08,52828.78202000402
1_2_2013-02-15,50967.50321388253
